actor_episodes,actor_loss,actor_steps,binary_accuracy,categorical_accuracy,critic_loss,entropy_mean,evaluator_episodes,evaluator_steps,learner_steps,learner_walltime,logits_neg,logits_pos,logsumexp,steps_per_second
1167,69.20881,175050,0.9972439,0.86932373,0.34429085,-27.722824,296,44400,2548,130.68243789672852,-304.53906,-0.3184557,2.44412,236.92449779346867
1239,76.460556,185850,0.99733925,0.8670654,0.3623575,-28.19874,314,47100,2727,140.70110821723938,-312.68658,-0.33713555,1.6664343,1860.9817808713015
1319,89.02509,197850,0.9972329,0.8607788,0.3708532,-28.981993,335,50250,2913,150.7399594783783,-325.85852,-0.34447062,2.7164187,1596.6516142846947
1394,78.817276,209100,0.99718285,0.87597656,0.37822083,-24.16539,354,53100,3094,160.76693034172058,-328.78357,-0.35809058,2.0665505,2009.2474251497006
1471,87.32449,220650,0.9971044,0.84680176,0.46108928,-24.02722,374,56100,3272,170.79143023490906,-348.016,-0.43026346,2.4564004,1624.0468515560717
1544,101.25003,231600,0.99742985,0.8859253,0.3267609,-26.307652,392,58800,3451,180.80585932731628,-353.4958,-0.30684704,2.3963618,802.3345209344587
1625,118.00743,243750,0.9974024,0.87475586,0.39129686,-28.440735,411,61650,3630,190.81401872634888,-385.23242,-0.38152575,1.7787447,2022.722146032703
1703,126.76711,255450,0.9972706,0.87194824,0.4006433,-25.617205,432,64800,3809,201.0399568080902,-411.0633,-0.38070923,2.288894,265.29620599446747
1776,123.629814,266400,0.9972651,0.86468506,0.43365613,-26.629026,450,67500,3997,211.17153477668762,-400.31863,-0.41061687,2.455264,368.9433807187948
1855,137.34557,278250,0.99716973,0.8465576,0.45984882,-21.137718,470,70500,4177,221.24214673042297,-421.9331,-0.43842113,2.500664,778.9746866666086
1934,152.52704,290100,0.99720836,0.8604126,0.43249696,-24.403614,490,73500,4355,231.2648265361786,-457.26166,-0.4133138,1.6973754,2172.0011975175785
2006,147.73512,300900,0.9970043,0.82806396,0.56772137,-24.513779,509,76350,4536,241.2686641216278,-438.76608,-0.5496731,2.5775824,1902.9473072315207
2084,160.96921,312600,0.9970486,0.83428955,0.54443383,-24.210794,529,79350,4720,251.2777178287506,-475.62082,-0.5145718,2.348907,1798.1528897939497
2167,135.0431,325050,0.9972999,0.8746338,0.49107552,-26.577572,548,82200,4905,261.30932688713074,-458.53357,-0.46757454,2.6360345,1626.5266729683221
2249,146.41852,337350,0.99700475,0.8166504,0.56992304,-24.413612,570,85500,5092,271.31118273735046,-468.87738,-0.53247917,2.189104,1796.0474511404466
2329,169.15866,349350,0.9968474,0.84625244,0.5372145,-21.430523,592,88800,5279,281.3328175544739,-498.99973,-0.49687266,4.3425827,1526.8844976849482
2400,174.28232,360000,0.99699926,0.82507324,0.60125875,-18.629301,610,91500,5465,291.33570528030396,-522.64526,-0.57150066,2.3981714,2092.7213165875373
2485,164.48749,372750,0.9971268,0.8424072,0.5091578,-21.549334,630,94500,5653,301.36074566841125,-495.88803,-0.49446037,2.4962318,1400.1505119471726
2568,164.38551,385200,0.9969437,0.8234253,0.583399,-22.757318,651,97650,5842,311.3629562854767,-488.54852,-0.5704854,2.4549453,1889.5389120396442
2645,188.48412,396750,0.9968879,0.8140259,0.63540196,-24.190268,671,100650,6031,321.4122486114502,-509.73703,-0.5870446,2.5593586,339.6339371456551
2727,173.2857,409050,0.9970393,0.83618164,0.53820044,-23.978882,694,104100,6223,331.42718744277954,-536.97736,-0.504794,3.4766316,492.9898825538792
2815,189.6957,422250,0.9970598,0.8187866,0.61056435,-25.721012,714,107100,6418,341.5050551891327,-552.0697,-0.5786112,3.2401094,455.4848746054909
2889,89.484436,433350,0.9964347,0.751709,0.84672296,-21.057026,735,110250,6612,351.5328938961029,-303.62747,-0.7949027,4.5779347,2156.125398597579
2978,32.56298,446700,0.9958029,0.6727905,1.2298603,-9.575933,756,113400,6813,361.5492262840271,-110.13295,-1.1924791,4.0904274,1967.1798148867408
3074,31.460163,461100,0.9962902,0.7034302,1.1229134,-0.89773697,780,117000,7027,371.576447725296,-113.56653,-1.0772176,4.419006,2316.6150818993046
3158,47.13588,473700,0.9961519,0.708313,1.1203351,-8.726002,804,120600,7236,381.64914631843567,-170.42256,-1.0677891,4.656789,270.9638193988103
3251,55.63759,487650,0.9961777,0.80181885,0.79040825,-4.8894796,828,124200,7446,391.6688914299011,-201.51523,-0.72608995,8.188699,1755.8572475143903
3338,66.5453,500700,0.99681854,0.8255615,0.63202536,1.5232247,848,127200,7651,401.7577450275421,-236.52641,-0.5909455,4.416051,299.8772899767749
3420,57.32488,513000,0.9969907,0.82263184,0.6270207,6.486698,868,130200,7851,411.7597200870514,-207.17128,-0.5988501,2.9362378,2245.4762307081014
3508,62.505043,526200,0.9967482,0.8069458,0.7459719,9.232339,892,133800,8054,421.8121449947357,-218.31625,-0.6693189,4.30097,741.6532372590084
3601,72.9675,540150,0.99696493,0.8383179,0.56822896,10.662875,916,137400,8261,431.82863211631775,-266.68713,-0.5190754,3.3770366,2012.712424083377
3679,77.43934,551850,0.9971168,0.83740234,0.5995831,2.75396,937,140550,8461,441.85618019104004,-270.66986,-0.58045435,2.7805867,713.0725702552006
3772,58.695328,565800,0.9969115,0.81622314,0.6053327,10.687824,961,144150,8668,451.8857567310333,-228.62929,-0.5520191,3.7104764,933.2276093199185
3868,67.73895,580200,0.99722886,0.8607788,0.50365835,3.1117938,985,147750,8876,462.01392364501953,-265.60327,-0.48804194,2.5151234,415.73619416218696
