actor_episodes,actor_steps,delta_dist,delta_dist_10,delta_dist_100,delta_dist_1000,episode_length,episode_return,final_dist,final_dist_10,final_dist_100,final_dist_1000,init_dist,init_dist_10,init_dist_100,init_dist_1000,min_dist,min_dist_10,min_dist_100,min_dist_1000,steps_per_second,success,success_1000
8867,1330050,0.22080547,0.1499902,0.14469528,0.24401179,150,0.0,0.48252308,0.5367437,0.53524315,0.43708017,0.70332855,0.68673384,0.67993855,0.6810919,0.3606381,0.3332387,0.37245625,0.2865323,334.7491345890881,0.0,0.0
8950,1342500,0.34515536,0.19607164,0.2120578,0.2434245,150,0.0,0.32559615,0.47970867,0.47176376,0.43791386,0.6707515,0.67578036,0.68382156,0.68133837,0.32545546,0.34469542,0.3270828,0.29068783,287.3191427175288,0.0,0.0
9032,1354800,0.034386694,0.0694105,0.17037489,0.23080334,150,0.0,0.67349887,0.6141571,0.51232034,0.45068407,0.70788556,0.68356746,0.68269515,0.68148744,0.32104498,0.46764666,0.35369545,0.30005586,296.5368365286542,0.0,0.0
9118,1367700,0.35813543,0.08368173,0.14002174,0.21518819,150,0.0,0.32418934,0.5892395,0.54327464,0.46656218,0.68232477,0.6729213,0.6832964,0.68175036,0.30753487,0.40527564,0.36956882,0.31166545,299.2411782332209,0.0,0.0
9199,1379850,0.1329863,0.073585644,0.16808674,0.20265527,150,0.0,0.5595421,0.6124447,0.51771855,0.47945228,0.6925284,0.6860303,0.68580526,0.68210757,0.43523628,0.3465261,0.3598982,0.32158464,294.15711929261533,0.0,0.0
9282,1392300,0.09469277,0.085762106,0.10176959,0.19032691,150,0.0,0.580837,0.587722,0.5767169,0.49130726,0.6755298,0.6734841,0.6784866,0.6816341,0.25492328,0.40725702,0.35901767,0.32841387,285.71968348313874,0.0,0.0
9365,1404750,0.25597093,0.1739819,0.14525783,0.18278891,150,0.0,0.4335483,0.50585496,0.53794456,0.49922517,0.6895192,0.67983687,0.6832024,0.68201405,0.3934349,0.3130144,0.33067694,0.33343425,301.93921052290585,0.0,0.002
9441,1416150,0.024812698,0.11385293,0.17856441,0.17188275,150,0.0,0.67700195,0.5702033,0.50506335,0.51033527,0.70181465,0.68405634,0.6836278,0.682218,0.41440523,0.34637818,0.33738232,0.34140518,344.47872008410127,0.0,0.002
9531,1429650,0.3007043,0.13284388,0.11890551,0.15811326,150,0.0,0.3668775,0.54855275,0.5639545,0.5242709,0.6675818,0.6813966,0.68286,0.68238413,0.2565629,0.31900835,0.37211773,0.35043228,294.32225178797984,0.0,0.003
9612,1441800,0.03982359,0.09540532,0.17502698,0.15444966,150,0.0,0.65519595,0.5777117,0.5068712,0.5280995,0.69501954,0.67311704,0.6818981,0.6825491,0.28269047,0.3997015,0.33201036,0.35656482,309.4810628140518,0.0,0.003
9694,1454100,0.0032713413,0.20854959,0.13042384,0.15570022,150,0.0,0.6712026,0.4778064,0.5521688,0.5271439,0.67447394,0.68635595,0.68259263,0.68284416,0.38495633,0.3630218,0.40379113,0.35831317,331.56850417105187,0.0,0.003
9772,1465800,0.16473556,0.11802437,0.11050278,0.15386327,150,0.0,0.5231229,0.55128276,0.5673897,0.5282963,0.68785846,0.6693071,0.6778925,0.68215954,0.39074534,0.47698927,0.43439788,0.36264923,300.88652507708133,0.0,0.003
9860,1479000,0.03645891,0.04227262,0.10069911,0.15027669,150,0.0,0.62655234,0.6398495,0.57796526,0.53200465,0.66301125,0.68212205,0.67866445,0.6822814,0.3977507,0.43135267,0.43979374,0.36772826,309.17294001614795,0.0,0.003
9947,1492050,0.3015292,0.114973806,0.110413745,0.14110123,150,0.0,0.39263704,0.5725161,0.5751859,0.54128206,0.69416624,0.6874899,0.68559957,0.6823833,0.34796706,0.37884837,0.43403187,0.3768654,281.5105159443946,0.0,0.003
10031,1504650,0.016408086,0.056143455,0.1334853,0.1387149,150,0.0,0.63900506,0.625697,0.54997164,0.5437582,0.65541315,0.6818405,0.683457,0.6824731,0.31762064,0.40116557,0.36674082,0.37752742,304.82687514777535,0.0,0.005
10108,1516200,0.27150872,0.09452134,0.10646534,0.13515064,150,0.0,0.4357976,0.5980533,0.5749348,0.5470946,0.7073063,0.6925746,0.68140006,0.6822453,0.36209348,0.45869032,0.4012523,0.38137063,316.55825336510594,0.0,0.005
10195,1529250,0.039955914,0.06657568,0.09384761,0.12913744,150,0.0,0.6603211,0.6063082,0.587431,0.55269593,0.70027703,0.6728839,0.6812786,0.6818334,0.28553206,0.35443112,0.38375354,0.38240972,320.3762556835802,0.0,0.006
10278,1541700,-0.0155056715,0.09729619,0.099734165,0.1283468,150,0.0,0.67221063,0.58406574,0.5795418,0.55375856,0.65670496,0.6813619,0.6792759,0.68210536,0.2521542,0.3746022,0.38488415,0.38515222,320.52658124665663,1.0,0.008
10368,1555200,0.22413492,0.06406482,0.07858279,0.12176735,150,0.0,0.4387409,0.61435634,0.6022451,0.5599938,0.66287583,0.6784211,0.68082786,0.6817611,0.320425,0.37106824,0.39083183,0.39015442,311.59673954064726,0.0,0.009
10451,1567650,0.3615144,0.19692531,0.100537,0.1156504,150,0.0,0.3239655,0.48249942,0.57679737,0.5655235,0.6854799,0.6794247,0.6773343,0.6811739,0.31511572,0.34951818,0.37057602,0.39245364,299.5258208631203,0.0,0.01
10530,1579500,0.10737491,0.14663464,0.14687444,0.117299125,150,9.0,0.5502168,0.5360931,0.5340393,0.56388575,0.6575917,0.68272775,0.68091375,0.6811848,0.40406895,0.37041754,0.35484713,0.3908542,311.9807082852123,0.0,0.015
