actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
955,143250,0.12995774,150,0.0,244,36600,0.5357643,0.665722,0.46664065,337.1041684080578,0.0,0.0
967,145050,0.10258567,150,0.0,247,37050,0.5894163,0.692002,0.57853895,292.5472128888141,0.0,0.0
979,146850,0.09856582,150,0.0,250,37500,0.56063056,0.6591964,0.54081035,296.5758367843346,0.0,0.0
990,148500,-0.17758381,150,0.0,253,37950,0.8331457,0.65556186,0.5119621,307.82813171995,0.0,0.0
1002,150300,-0.15188849,150,0.0,256,38400,0.81355804,0.66166955,0.66166955,291.9401405999861,0.0,0.0
1018,152700,0.1814459,150,0.0,259,38850,0.53000915,0.71145505,0.50578547,304.5515318446517,0.0,0.0
1024,153600,-0.1983437,150,0.0,261,39150,0.86698496,0.66864127,0.66864127,267.3359992759378,0.0,0.0
1029,154350,-0.2633688,150,0.0,263,39450,0.95415694,0.69078815,0.6900974,325.1388367788007,0.0,0.0
1039,155850,0.17265677,150,0.0,265,39750,0.5419128,0.71456957,0.51798785,292.5276256066567,0.0,0.0
1047,157050,-0.26605463,150,0.0,267,40050,0.9359005,0.6698459,0.6698459,299.62538825606947,0.0,0.0
1055,158250,0.17026865,150,0.0,269,40350,0.5430228,0.71329147,0.5180174,272.5248106954012,0.0,0.0
1063,159450,-0.26007652,150,0.0,271,40650,0.92320925,0.6631327,0.6631327,278.0362017465825,0.0,0.0
1075,161250,-0.19769925,150,0.0,274,41100,0.85964406,0.6619448,0.6619448,301.03308444440194,0.0,0.0
1083,162450,0.15846485,150,0.0,276,41400,0.54325515,0.70172,0.5167007,296.31714516227026,0.0,0.0
1092,163800,-0.1787197,150,0.0,279,41850,0.8415946,0.6628749,0.6616778,282.4226525066056,0.0,0.0
1102,165300,-0.18158835,150,0.0,281,42150,0.8716231,0.69003475,0.68819594,288.7280320326752,0.0,0.0
1110,166500,0.1775276,150,0.0,283,42450,0.4754845,0.6530121,0.44628757,274.0588214538832,0.0,0.0
1118,167700,0.17760172,150,0.0,285,42750,0.4947621,0.6723638,0.46718043,293.7452347480422,0.0,0.0
1131,169650,0.1797831,150,0.0,288,43200,0.48659092,0.666374,0.45851797,263.2334574721127,0.0,0.0
1139,170850,0.16960007,150,0.0,290,43500,0.51292765,0.6825277,0.48637906,287.9168794653399,0.0,0.0
1147,172050,0.18236268,150,0.0,292,43800,0.47714657,0.65950924,0.44846532,304.76323342415986,0.0,0.0
1155,173250,0.17868057,150,0.0,294,44100,0.49101672,0.6696973,0.46435294,268.38438424090816,0.0,0.0
1163,174450,0.18120733,150,0.0,296,44400,0.47525492,0.65646225,0.4464278,286.30804075464073,0.0,0.0
1175,176250,0.15344906,150,0.0,299,44850,0.517375,0.67082405,0.49684536,317.7828838007129,0.0,0.0
1181,177150,0.16259688,150,0.0,302,45300,0.5365126,0.6991095,0.510211,303.37580576097395,0.0,0.0
1190,178500,0.17525566,150,0.0,304,45600,0.5417672,0.71702284,0.51767737,289.4800870907957,0.0,0.0
1198,179700,0.17947224,150,0.0,306,45900,0.48774478,0.667217,0.4597423,288.7104101675968,0.0,0.0
1208,181200,0.14963996,150,0.0,308,46200,0.5401792,0.68981916,0.51544285,280.3069564194596,0.0,0.0
1216,182400,0.15765166,150,0.0,310,46500,0.5324534,0.6901051,0.50635135,282.18678684712876,0.0,0.0
1224,183600,0.1570434,150,0.0,312,46800,0.5393174,0.6963608,0.5075746,281.6913869396187,0.0,0.0
1230,184500,0.18077621,150,0.0,314,47100,0.48292747,0.6637037,0.45462838,289.2772409429819,0.0,0.0
1239,185850,0.16422123,150,0.0,316,47400,0.53489596,0.6991172,0.508134,279.417719866177,0.0,0.0
1247,187050,0.15403795,150,0.0,318,47700,0.513927,0.66796494,0.49458316,274.67393838424323,0.0,0.0
1262,189300,0.15462756,150,0.0,321,48150,0.5298311,0.6844587,0.5038388,278.1915982587202,0.0,0.0
1270,190500,0.16861206,150,0.0,324,48600,0.5231619,0.69177395,0.49819666,289.467966900626,0.0,0.0
1278,191700,0.1809603,150,0.0,327,49050,0.47649205,0.65745234,0.4477866,305.6777308705329,0.0,0.0
1297,194550,0.17897892,150,0.0,330,49500,0.4771192,0.6560981,0.44845343,286.6987962348618,0.0,0.0
1305,195750,0.14539158,150,0.0,332,49800,0.52918535,0.67457694,0.50198716,298.8485829590278,0.0,0.0
1314,197100,0.15393245,150,0.0,335,50250,0.51536715,0.6692996,0.4946199,307.5052530172774,0.0,0.0
1323,198450,0.18121073,150,0.0,337,50550,0.47501484,0.65622556,0.44621372,285.08063785284725,0.0,0.0
1336,200400,0.18223244,150,0.0,340,51000,0.47761798,0.6598504,0.4489844,278.08339245105384,0.0,0.0
1346,201900,0.17723036,150,0.0,343,51450,0.49617064,0.673401,0.46867192,296.3080740099525,0.0,0.0
1354,203100,0.18021256,150,0.0,345,51750,0.48500252,0.6652151,0.45683205,275.60887141287606,0.0,0.0
1362,204300,0.1826154,150,0.0,347,52050,0.47623378,0.6588492,0.44751158,294.0832825000175,0.0,0.0
1371,205650,0.16830575,150,0.0,349,52350,0.5355503,0.70385605,0.5110792,287.0349535877453,0.0,0.0
1379,206850,0.18245769,150,0.0,351,52650,0.47680324,0.6592609,0.4481176,292.8110804974309,0.0,0.0
1389,208350,0.18039629,150,0.0,354,53100,0.4843249,0.6647212,0.45611256,273.15024779717754,0.0,0.0
1404,210600,0.17856205,150,0.0,357,53550,0.4911437,0.66970575,0.46334675,325.4395520836243,0.0,0.0
1413,211950,0.1680299,150,0.0,360,54000,0.5421718,0.7102017,0.51694506,305.3427467789913,0.0,0.0
1421,213150,0.1715979,150,0.0,362,54300,0.53226924,0.70386714,0.5071171,285.18104352106656,0.0,0.0
1430,214500,0.18129018,150,0.0,364,54600,0.47625396,0.65754414,0.44753307,277.7515542099422,0.0,0.0
1438,215700,0.17834851,150,0.0,366,54900,0.4919453,0.6702938,0.4641963,288.9607627900995,0.0,0.0
1446,216900,0.16411543,150,0.0,368,55200,0.531443,0.6955584,0.5048023,286.67110167406344,0.0,0.0
1452,217800,-0.19352335,150,0.0,370,55500,0.87497,0.6814467,0.67958456,269.995120613541,0.0,0.0
1461,219150,0.16422474,150,0.0,372,55800,0.5353036,0.69952834,0.5099408,282.01197892526756,0.0,0.0
1469,220350,0.18199706,150,0.0,374,56100,0.47847116,0.6604682,0.4498919,272.0315535460338,0.0,0.0
1478,221700,0.1805042,150,0.0,376,56400,0.5321306,0.7126348,0.5121949,267.48318732159515,0.0,0.0
1486,222900,0.17940152,150,0.0,378,56700,0.4752956,0.6546971,0.44651267,299.5470696649991,0.0,0.0
1494,224100,0.16921645,150,0.0,380,57000,0.54145306,0.7106695,0.51573443,292.4346218240537,0.0,0.0
1501,225150,0.16281867,150,0.0,382,57300,0.5136246,0.6764433,0.48714557,298.53278284417394,0.0,0.0
1510,226500,0.18287069,150,0.0,384,57600,0.4750489,0.6579196,0.44625044,255.38491889041651,0.0,0.0
1520,228000,0.15318048,150,0.0,386,57900,0.51824844,0.6714289,0.4978424,288.32802944756486,0.0,0.0
1526,228900,0.16959018,150,0.0,388,58200,0.5196293,0.6892195,0.4948131,287.7542479666337,0.0,0.0
1534,230100,-0.18994713,150,0.0,390,58500,0.86684,0.6768929,0.5326971,279.8345577524478,0.0,0.0
1541,231150,0.17926148,150,0.0,392,58800,0.4763004,0.65556186,0.4475826,301.1190997426004,0.0,0.0
1550,232500,0.18083021,150,0.0,394,59100,0.47488776,0.65571797,0.44607896,301.6127996134113,0.0,0.0
1558,233700,0.1632359,150,0.0,396,59400,0.53619784,0.69943374,0.5097399,260.56778205836525,0.0,0.0
1564,234600,0.18086833,150,0.0,398,59700,0.48258936,0.6634577,0.45426923,272.9579099994013,0.0,0.0
